MACHINE,MODE,BATCH_SIZE,OPERATION,RUNNING TIME,LOG TIME,NOTE
Jetson TK1,GPU,60,pool2,5.2790641784667969,2015-07-07 17:38:21.171876,
Jetson TK1,GPU,60,pool1,16.960501670837402,2015-07-07 17:38:21.171876,
Jetson TK1,GPU,60,data,26.41594409942627,2015-07-07 17:38:21.171876,
Jetson TK1,CPU,60,mean step time,377.63500213623047,2015-07-07 17:38:41.935108,
Jetson TK1,CPU,60,loss,0.59056282043457031,2015-07-07 17:38:41.935108,
Jetson TK1,CPU,60,relu1,1.1014938354492188,2015-07-07 17:38:41.935108,
Jetson TK1,CPU,60,ip2,0.83398818969726562,2015-07-07 17:38:41.935108,
Jetson TK1,CPU,60,conv2,87.20850944519043,2015-07-07 17:38:41.935108,
Jetson TK1,CPU,60,conv1,109.7719669342041,2015-07-07 17:38:41.935108,
Jetson TK1,CPU,60,ip1,14.05799388885498,2015-07-07 17:38:41.935108,
Jetson TK1,CPU,60,first step time,18713.36817741394,2015-07-07 17:38:41.935108,
Jetson TK1,CPU,60,pool2,16.610622406005859,2015-07-07 17:38:41.935108,
Jetson TK1,CPU,60,pool1,93.328475952148438,2015-07-07 17:38:41.935108,
Jetson TK1,CPU,60,data,116.12749099731445,2015-07-07 17:38:41.935108,
Jetson TK1,GPU,65,mean step time,72.831511497497559,2015-07-07 17:38:47.940131,
Jetson TK1,GPU,65,loss,3.5790205001831055,2015-07-07 17:38:47.940131,
Jetson TK1,GPU,65,relu1,4.8505067825317383,2015-07-07 17:38:47.940131,
Jetson TK1,GPU,65,ip2,4.4940710067749023,2015-07-07 17:38:47.940131,
Jetson TK1,GPU,65,conv2,24.567961692810059,2015-07-07 17:38:47.940131,
Jetson TK1,GPU,65,conv1,30.945420265197754,2015-07-07 17:38:47.940131,
Jetson TK1,GPU,65,ip1,7.3075294494628906,2015-07-07 17:38:47.940131,
Jetson TK1,GPU,65,first step time,5253.536939620972,2015-07-07 17:38:47.940131,
Jetson TK1,GPU,65,pool2,5.7604312896728516,2015-07-07 17:38:47.940131,
Jetson TK1,GPU,65,pool1,21.31354808807373,2015-07-07 17:38:47.940131,
Jetson TK1,GPU,65,data,35.959005355834961,2015-07-07 17:38:47.940131,
Jetson TK1,CPU,65,mean step time,339.7974967956543,2015-07-07 17:39:08.704837,
Jetson TK1,CPU,65,loss,0.59914588928222656,2015-07-07 17:39:08.704837,
Jetson TK1,CPU,65,relu1,1.1293888092041016,2015-07-07 17:39:08.704837,
Jetson TK1,CPU,65,ip2,0.86390972137451172,2015-07-07 17:39:08.704837,
Jetson TK1,CPU,65,conv2,92.929959297180176,2015-07-07 17:39:08.704837,
Jetson TK1,CPU,65,conv1,119.06695365905762,2015-07-07 17:39:08.704837,
Jetson TK1,CPU,65,ip1,16.095638275146484,2015-07-07 17:39:08.704837,
Jetson TK1,CPU,65,first step time,18712.103843688965,2015-07-07 17:39:08.704837,
Jetson TK1,CPU,65,pool2,39.09754753112793,2015-07-07 17:39:08.704837,
Jetson TK1,CPU,65,pool1,100.36754608154297,2015-07-07 17:39:08.704837,
Jetson TK1,CPU,65,data,119.92514133453369,2015-07-07 17:39:08.704837,
Jetson TK1,GPU,70,mean step time,77.054977416992188,2015-07-07 17:39:14.835878,
Jetson TK1,GPU,70,loss,4.4385194778442383,2015-07-07 17:39:14.835878,
Jetson TK1,GPU,70,relu1,4.7905445098876953,2015-07-07 17:39:14.835878,
Jetson TK1,GPU,70,ip2,4.6706199645996094,2015-07-07 17:39:14.835878,
Jetson TK1,GPU,70,conv2,28.736472129821777,2015-07-07 17:39:14.835878,
Jetson TK1,GPU,70,conv1,48.288464546203613,2015-07-07 17:39:14.835878,
Jetson TK1,GPU,70,ip1,6.9565773010253906,2015-07-07 17:39:14.835878,
Jetson TK1,GPU,70,first step time,5299.078941345215,2015-07-07 17:39:14.835878,
Jetson TK1,GPU,70,pool2,7.1870088577270508,2015-07-07 17:39:14.835878,
Jetson TK1,GPU,70,pool1,29.325485229492188,2015-07-07 17:39:14.835878,
Jetson TK1,GPU,70,data,40.422558784484863,2015-07-07 17:39:14.835878,
Jetson TK1,CPU,70,mean step time,361.02354526519775,2015-07-07 17:39:35.617131,
Jetson TK1,CPU,70,loss,0.61106681823730469,2015-07-07 17:39:35.617131,
Jetson TK1,CPU,70,relu1,1.1810064315795898,2015-07-07 17:39:35.617131,
Jetson TK1,CPU,70,ip2,0.89704990386962891,2015-07-07 17:39:35.617131,
Jetson TK1,CPU,70,conv2,99.753975868225098,2015-07-07 17:39:35.617131,
Jetson TK1,CPU,70,conv1,128.30901145935059,2015-07-07 17:39:35.617131,
Jetson TK1,CPU,70,ip1,17.096519470214844,2015-07-07 17:39:35.617131,
Jetson TK1,CPU,70,first step time,18601.789951324463,2015-07-07 17:39:35.617131,
Jetson TK1,CPU,70,pool2,20.364165306091309,2015-07-07 17:39:35.617131,
Jetson TK1,CPU,70,pool1,107.3911190032959,2015-07-07 17:39:35.617131,
Jetson TK1,CPU,70,data,148.62895011901855,2015-07-07 17:39:35.617131,
Jetson TK1,GPU,75,mean step time,84.678053855895996,2015-07-07 17:39:41.563593,
Jetson TK1,GPU,75,loss,4.9979686737060547,2015-07-07 17:39:41.563593,
Jetson TK1,GPU,75,relu1,6.1229467391967773,2015-07-07 17:39:41.563593,
Jetson TK1,GPU,75,ip2,5.8759450912475586,2015-07-07 17:39:41.563593,
Jetson TK1,GPU,75,conv2,31.75818920135498,2015-07-07 17:39:41.563593,
Jetson TK1,GPU,75,conv1,46.115994453430176,2015-07-07 17:39:41.563593,
Jetson TK1,GPU,75,ip1,7.4114799499511719,2015-07-07 17:39:41.563593,
Jetson TK1,GPU,75,first step time,5091.116189956665,2015-07-07 17:39:41.563593,
Jetson TK1,GPU,75,pool2,7.393956184387207,2015-07-07 17:39:41.563593,
Jetson TK1,GPU,75,pool1,29.343962669372559,2015-07-07 17:39:41.563593,
Jetson TK1,GPU,75,data,39.894580841064453,2015-07-07 17:39:41.563593,
Jetson TK1,CPU,75,mean step time,408.27596187591553,2015-07-07 17:40:02.460735,
Jetson TK1,CPU,75,loss,0.62549114227294922,2015-07-07 17:40:02.460735,
Jetson TK1,CPU,75,relu1,1.2280941009521484,2015-07-07 17:40:02.460735,
Jetson TK1,CPU,75,ip2,1.1105537414550781,2015-07-07 17:40:02.460735,
Jetson TK1,CPU,75,conv2,105.66592216491699,2015-07-07 17:40:02.460735,
Jetson TK1,CPU,75,conv1,135.66088676452637,2015-07-07 17:40:02.460735,
Jetson TK1,CPU,75,ip1,16.869425773620605,2015-07-07 17:40:02.460735,
Jetson TK1,CPU,75,first step time,18628.51595878601,2015-07-07 17:40:02.460735,
Jetson TK1,CPU,75,pool2,20.315051078796387,2015-07-07 17:40:02.460735,
Jetson TK1,CPU,75,pool1,113.77549171447754,2015-07-07 17:40:02.460735,
Jetson TK1,CPU,75,data,136.37793064117432,2015-07-07 17:40:02.460735,
Jetson TK1,GPU,80,mean step time,79.751491546630859,2015-07-07 17:40:08.263148,
Jetson TK1,GPU,80,loss,2.8920173645019531,2015-07-07 17:40:08.263148,
Jetson TK1,GPU,80,relu1,5.1414966583251953,2015-07-07 17:40:08.263148,
Jetson TK1,GPU,80,ip2,3.5920143127441406,2015-07-07 17:40:08.263148,
Jetson TK1,GPU,80,conv2,19.766449928283691,2015-07-07 17:40:08.263148,
Jetson TK1,GPU,80,conv1,32.045960426330566,2015-07-07 17:40:08.263148,
Jetson TK1,GPU,80,ip1,5.0674676895141602,2015-07-07 17:40:08.263148,
Jetson TK1,GPU,80,first step time,5031.010150909424,2015-07-07 17:40:08.263148,
Jetson TK1,GPU,80,pool2,4.9190521240234375,2015-07-07 17:40:08.263148,
Jetson TK1,GPU,80,pool1,18.565535545349121,2015-07-07 17:40:08.263148,
